FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240416;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;231447.49;43243.67;240.00;10.00;288291.16;20250108
20240416;NMIV;LIMA;LIMA;MIRAFLORES;150122;Credito;Banco;277310.00;41570.00;240.00;9.80;326480.00;20250108
20240416;NMIV;LIMA;LIMA;COMAS;150110;Comercio;Banco;84500.00;45000.00;240.00;10.90;150000.00;20250108
20240416;NMIV;LIMA;LIMA;LA VICTORIA;150115;Scotiabank;Banco;231200.00;27200.00;300.00;9.00;272000.00;20250108
20240416;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Crediscotia;Financiera;166420.00;60000.00;120.00;12.00;240020.00;20250108
20240416;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;BANCO PICHINCHA;Banco;103500.00;30000.00;180.00;10.33;160000.00;20250108
20240416;NMIV;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;89600.00;28000.00;120.00;10.00;140000.00;20250108
20240416;NMIV;LIMA;LIMA;JESUS MARIA;150113;Continental;Banco;285300.00;45000.00;300.00;9.00;343900.00;20250108
20240416;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Interbank;Banco;169188.45;46800.00;300.00;9.66;234000.00;20250108
20240416;NMIV;CAJAMARCA;JAEN;JAEN;060801;Interbank;Banco;80404.00;129100.00;144.00;10.25;230000.00;20250108
20240416;NMIV;LIMA;LIMA;CARABAYLLO;150106;Interbank;Banco;119500.00;40000.00;168.00;9.39;180000.00;20250108
